Location,CowTagID,lat,lon,MaxMin,adj_CT_depth_cm,Season,Salinity,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Varari,V19,-17.54050802,-149.89978,Minimum,82.9,Wet,36.52,2320.615292,7.950193417749299,0.11887111,0.739466183,0.067080879,0.155294887,-Inf,-Inf,-Inf,-Inf,-Inf,3.1,40.37313433,0.85126207
Varari,V20,-17.54045103,-149.899509,Maximum,65,Dry,36.53,2363.766285,8.076786968432812,0.27,1.88,0.61,0.43,2.264358254,1.327944744,0.012703487,0.072470915,0.216782414,3.8,33.57370518,0.988305705
Varari,V20,-17.54045103,-149.899509,Maximum,65,Wet,36.66,2347.161306,8.033626688453257,0.166438005,1.495544182,0.28925403,0.465584632,Inf,Inf,Inf,Inf,Inf,3.6,35.88659794,0.825848197
Varari,V20,-17.54045103,-149.899509,Minimum,65,Dry,36.29,2316.749816,8.021213679401516,0.19,0.75,0.32,0.22,1.264505195,0.583608704,0.008611427,0.016409964,0.01870176,3.8,33.57370518,0.988305705
Varari,V20,-17.54045103,-149.899509,Minimum,65,Wet,36.52,2310.803421,7.930857651646049,0.147596874,1.164669273,0.119176652,0.15511487,-Inf,-Inf,-Inf,-Inf,-Inf,3.6,35.88659794,0.825848197
Varari,VSEEP,-17.540302,-149.899331,Maximum,NA,Dry,36.17,2833.929859,8.037784458218706,1.07,164.27,12.7,1.1,1.995887904,2.302147814,0.033170584,0.092004154,0.218519677,8,25.96463023,1.249297019
Varari,VSEEP,-17.540302,-149.899331,Maximum,NA,Wet,36.54,3370.869465,8.019435671518288,2.3580421,447.2495465,18.53571555,4.325574659,Inf,Inf,Inf,Inf,Inf,7.7,24.56586826,1.254271659
Varari,VSEEP,-17.540302,-149.899331,Minimum,NA,Dry,29.44,2355.901122,7.743361952307488,0.2,3.03,0.35,0.24,1.112584302,0.590968416,0.012190915,0.018434385,0.019369924,8,25.96463023,1.249297019
Varari,VSEEP,-17.540302,-149.899331,Minimum,NA,Wet,15.12,2294.644581,7.025903882158052,0.16495299,3.096964894,0.353787894,0.208039943,-Inf,-Inf,-Inf,-Inf,-Inf,7.7,24.56586826,1.254271659
Cabral,C1,-17.517048,-149.912693,Maximum,78.9,Dry,36.17,2362.354403,8.03537226221219,0.23,6.09,0.55,0.39,1.47011862,1.431553252,0.022463317,0.099785977,0.20024139,3.5,48.46153846,0.638899128
Cabral,C1,-17.517048,-149.912693,Maximum,78.9,Wet,36.58,2301.204674,8.051251381137199,0.160709004,6.538680142,2.51686028,0.679145104,Inf,Inf,Inf,Inf,Inf,3,31.95305164,0.900824699
Cabral,C1,-17.517048,-149.912693,Minimum,78.9,Dry,35.9,2312.326304,7.837550779733506,0.13,3.51,0.08,0.02,1.026086997,0.792528039,0.014987831,0.023627086,0.028249944,3.5,48.46153846,0.638899128
Cabral,C1,-17.517048,-149.912693,Minimum,78.9,Wet,36.29,2091.85952,7.835625812539552,0.147012182,2.847369785,0.429010275,0.27935739,-Inf,-Inf,-Inf,-Inf,-Inf,3,31.95305164,0.900824699
Cabral,C2,-17.51706904,-149.912949,Maximum,87.19999999999999,Dry,36.18,2370.08551,8.081071135628202,0.23,15.83,0.5,0.54,1.698394628,1.130932691,0.023147803,0.097654205,0.193732522,3.5,42.07428571,0.677113562
Cabral,C2,-17.51706904,-149.912949,Maximum,87.19999999999999,Wet,36.65,2334.88532,8.032124983299012,0.193353907,4.689660534,0.764803503,0.62579999,Inf,Inf,Inf,Inf,Inf,2.6,43.86931818,0.676584785
Cabral,C2,-17.51706904,-149.912949,Minimum,87.19999999999999,Dry,36.01,2259.851026,7.854173178258353,0.22,4.42,0.39,0.03,1.196536267,0.896557277,0.01453093,0.03174076,0.035519587,3.5,42.07428571,0.677113562
Cabral,C2,-17.51706904,-149.912949,Minimum,87.19999999999999,Wet,36.38,2236.824067,7.791398545812441,0.164667886,1.2335060900000001,0.596024152,0.407507333,-Inf,-Inf,-Inf,-Inf,-Inf,2.6,43.86931818,0.676584785
Cabral,C3,-17.51697499,-149.913111,Maximum,99.6,Dry,36.24,2335.44423,8.06227151167327,0.28,5.39,0.72,0.37,2.202718779,1.257666738,0.021487094,0.113945442,0.224118302,3.2,39.455,0.769497134
Cabral,C3,-17.51697499,-149.913111,Maximum,99.6,Wet,36.69,2337.104139,8.059446905939664,0.221940451,2.031658442,1.19186229,0.793396057,Inf,Inf,Inf,Inf,Inf,2.9,42.04615385,0.767444606
Cabral,C3,-17.51697499,-149.913111,Minimum,99.6,Dry,36.12,2305.413099,7.879180926752472,0.19,2.03,0.38,0.02,0.930198792,0.719969554,0.009182464,0.020940073,0.022198775,3.2,39.455,0.769497134
Cabral,C3,-17.51697499,-149.913111,Minimum,99.6,Wet,36.48,2291.796437,7.868473391074651,0.198295633,1.186404077,0.908071749,0.329858663,-Inf,-Inf,-Inf,-Inf,-Inf,2.9,42.04615385,0.767444606
Cabral,C4,-17.51679302,-149.912772,Maximum,90.6,Dry,36.21,2332.179498,8.03318171357041,0.22,8.33,0.52,0.47,1.520841131,1.004516388,0.024066906,0.092874609,0.187441992,3.5,43.25925926,0.629688654
Cabral,C4,-17.51679302,-149.912772,Maximum,90.6,Wet,36.53,2296.664069,8.043227660039504,0.23306099,4.971918459,0.497598955,0.912638604,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Cabral,C4,-17.51679302,-149.912772,Minimum,90.6,Dry,36.02,2290.254944,7.883962404997117,0.2,4.53,0.25,0.03,1.234668861,0.952465267,0.011799455,0.057744048,0.051806659,3.5,43.25925926,0.629688654
Cabral,C4,-17.51679302,-149.912772,Minimum,90.6,Wet,36.39,2245.994858,7.8275099675167,0.136910206,3.071547033,0.345150242,0.2248255,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
Cabral,C5,-17.51659596,-149.912877,Maximum,89,Dry,36.34,2338.53947,8.061787385463742,0.23,8.28,0.4,0.42,1.43857261,1.634855214,0.022544278,0.086367685,0.194657407,3.5,48.7125,0.590951062
Cabral,C5,-17.51659596,-149.912877,Maximum,89,Wet,36.55,2282.61,8.03572456425044,0.180230389,6.271296536,0.639454822,1.135152426,Inf,Inf,Inf,Inf,Inf,2.9,57.24666667,0.545633116
Cabral,C5,-17.51659596,-149.912877,Minimum,89,Dry,35.81,2295.946839,7.937664748225899,0.11,2.86,0.03,0.02,0.948037008,0.790751202,0.0100241,0.03674966,0.021414578,3.5,48.7125,0.590951062
Cabral,C5,-17.51659596,-149.912877,Minimum,89,Wet,36.34,2241.79,7.853631332956638,0.153064266,1.968014166,0.422036651,0.382197423,-Inf,-Inf,-Inf,-Inf,-Inf,2.9,57.24666667,0.545633116
Cabral,C6,-17.51653796,-149.913134,Maximum,130.9,Dry,36.43,2354.2844919999998,8.047546339638306,0.21,1.91,0.5,0.26,2.273282492,0.893511662,0.011015307,0.082779856,0.195653492,3.4,47.6013986,0.576961872
Cabral,C6,-17.51653796,-149.913134,Maximum,130.9,Wet,36.67,2350.612081,8.03855605764478,0.223596076,1.774293859,0.730729847,0.599376603,Inf,Inf,Inf,Inf,Inf,3.1,44.74371859,0.687724634
Cabral,C6,-17.51653796,-149.913134,Minimum,130.9,Dry,36.17,2314.273847,8.011377524002153,0.07,1.3,0.03,0.02,0.98837268,0.697907804,0.007150671,0.022613975,0.01691481,3.4,47.6013986,0.576961872
Cabral,C6,-17.51653796,-149.913134,Minimum,130.9,Wet,36.59,2313.223896,7.96181167259721,0.192653088,0.922207826,0.50174782,0.27372638,-Inf,-Inf,-Inf,-Inf,-Inf,3.1,44.74371859,0.687724634
Cabral,C7,-17.51630402,-149.913229,Maximum,90.1,Dry,36.27,2355.022306,8.061058347292269,0.22,2.38,0.61,0.29,1.654983006,1.126514303,0.00596804,0.053476108,0.118541609,3.6,39.2974359,0.715543813
Cabral,C7,-17.51630402,-149.913229,Maximum,90.1,Wet,36.61,2347.728299,8.032119864750483,0.217452983,4.329135355,0.700540235,0.641460997,Inf,Inf,Inf,Inf,Inf,3,52.27067669,0.577332118
Cabral,C7,-17.51630402,-149.913229,Minimum,90.1,Dry,36.26,2326.879723,8.000087223552105,0.18,1.53,0.42,0.21,1.103503566,0.511789039,0.005874492,0.034037924,0.064843324,3.6,39.2974359,0.715543813
Cabral,C7,-17.51630402,-149.913229,Minimum,90.1,Wet,36.46,2268.316401,7.934577259281462,0.173632252,0.881834672,0.592758024,0.358606453,-Inf,-Inf,-Inf,-Inf,-Inf,3,52.27067669,0.577332118
Cabral,C8,-17.51632397,-149.91291,Maximum,99.70000000000002,Dry,36.2,2340.849593,8.066410568654517,0.23,6.2,0.44,0.35,1.939118781,1.844056959,0.017038046,0.082920269,0.193670341,3.4,47.83333333,0.582106551
Cabral,C8,-17.51632397,-149.91291,Maximum,99.70000000000002,Wet,36.54,2331.540826,8.043077689769943,0.211400898,5.348380409,0.632657745,1.471531206,Inf,Inf,Inf,Inf,Inf,3.1,49.05607477,0.662661795
Cabral,C8,-17.51632397,-149.91291,Minimum,99.70000000000002,Dry,35.98,2312.706907,7.946531425414822,0.17,2.75,0.31,0.02,0.842587928,0.829927049,0.009872291,0.022227061,0.015761131,3.4,47.83333333,0.582106551
Cabral,C8,-17.51632397,-149.91291,Minimum,99.70000000000002,Wet,36.44,2255.864353,7.863973715598903,0.159707907,2.299499007,0.394671798,0.270940512,-Inf,-Inf,-Inf,-Inf,-Inf,3.1,49.05607477,0.662661795
Cabral,C9,-17.51639103,-149.913111,Maximum,72.1,Dry,36.27,2346.880489,8.067012629709941,0.25,5.46,0.7,0.4,1.618308906,1.353918776,0.011700698,0.073781995,0.179940351,3.2,44.52352941,0.649673253
Cabral,C9,-17.51639103,-149.913111,Maximum,72.1,Wet,36.6,2384.8,8.043127476375147,0.193927211,6.209320204,0.744765368,0.577978764,Inf,Inf,Inf,Inf,Inf,2.9,50.12269939,0.616700087
