Location,CowTagID,Season,lat,lon,adj_CT_depth_cm,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Varari,V20,Dry,-17.54045103,-149.899509,65,0.0029002131242118366,0.021696452540555845,0.00923841622176224,0.0029608178352200213,0.18175106237265048,0.3992970862249473,0.28368858843917966,0.3443843710955662,0.2887282979298986,0.3086308609216816,0.18343906978357485,0.7161210791195227,1.065069825836206,4,30.212927756653993,1.099130725509863
Varari,V20,Wet,-17.54045103,-149.899509,65,0.0015855440347523233,0.014238415251764718,0.006679444627277453,0.006170555148783369,0.05595415153427213,0.10463448282855331,0.4408239703290506,0.5539842548260274,NA,NA,NA,NA,NA,4,30.212927756653993,1.099130725509863
Varari,VSEEP,Dry,-17.540302,-149.899331,NA,0.06000281183972864,0.02243222817675461,0.05963690474707708,0.011501568236834871,0.6630108093638695,1.2036640194893327,1.2523296239255115,0.512954580836907,0.23984702783816958,0.576526655547372,0.4115280019871381,0.42469774826960377,0.7613792752446984,7.2,22.51840490797546,1.2382724959167395
Varari,VSEEP,Wet,-17.540302,-149.899331,NA,0.313307633911043,0.037903020407035165,0.1464287471259336,0.05134350005282576,0.7324546975169554,0.9252116971882681,0.8531845171615737,0.9602765778693314,NA,NA,NA,NA,NA,7.2,22.51840490797546,1.2382724959167395
Cabral,C1,Dry,-17.517048,-149.912693,78.9,0.0035938551696538088,0.019344577338395643,0.009058649046611132,0.011119861524914431,0.23971413866036165,0.23006358649129877,0.8033729913715709,1.183855132690946,0.17072992656486988,0.25558004890576397,0.20207964899512262,0.6263102713043177,0.8593562751451053,NA,NA,NA
Cabral,C1,Wet,-17.517048,-149.912693,78.9,0.003299793059473002,0.020572652046480105,0.04264191650836554,0.011974137872536476,0.040817037458229274,0.40762001153658534,0.9585836747232025,0.33425572124739317,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C2,Dry,-17.51706904,-149.912949,87.19999999999999,0.002113442370712877,0.019344577338395643,0.020120574800740407,0.011749790991599236,0.025471335405424688,0.6385389850237039,0.13021925274222884,0.9787847302391547,0.17252304281256764,0.12270868477884317,0.27254058939021564,0.5146205978467031,0.6749842067984564,NA,NA,NA
Cabral,C2,Wet,-17.51706904,-149.912949,87.19999999999999,0.003481379119627371,0.014910425785575032,0.017794389916043808,0.01428955386043205,0.07768533114235206,0.5820234123999807,0.10821660965736393,0.17275924406776222,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C3,Dry,-17.51697499,-149.913111,99.6,0.001570385992616799,0.015727991909931776,0.006428679561328205,0.009434243473589303,0.19641387920270192,0.44933289853326713,0.2562017114526565,1.1142178788197044,0.38367082514694745,0.23744800299673446,0.3972450996420961,0.6803704736898201,0.9439327868008268,NA,NA,NA
Cabral,C3,Wet,-17.51697499,-149.913111,99.6,0.002497750727755849,0.012811130739941116,0.008782537920091519,0.01072697535959779,0.047198141131911744,0.26847622861915543,0.12300922056159887,0.410188321583886,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C4,Dry,-17.51679302,-149.912772,90.6,0.0028928530088419267,0.0230276096297811,0.009089616184901547,0.009413204267891767,0.055872606695770204,0.34510741064458056,0.3856486157244716,0.9195031871130795,0.10403803850311169,0.02964855502061916,0.33909315294238,0.2881939204019963,0.5832204632676184,NA,NA,NA
Cabral,C4,Wet,-17.51679302,-149.912772,90.6,0.0017542992629318304,0.020996781084468535,0.009813934423407562,0.012104639606554512,0.2665733206491136,0.24927408327610276,0.14832060375245812,0.6951459615925022,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C5,Dry,-17.51659596,-149.912877,89,0.006356494688217627,0.021459750419879613,0.00872336214064157,0.006542851285351216,0.28864650044956613,0.44743584903720857,0.7961786489750939,1.1383797771903335,0.206144847969583,0.3782651541006481,0.3787300680666578,0.39950588516804936,1.039265183085995,NA,NA,NA
Cabral,C5,Wet,-17.51659596,-149.912877,89,0.0028955711290420895,0.02016592045110434,0.007871240419008113,0.01067919506235718,0.07111987208049836,0.47369012819878703,0.18495937935157705,0.4652709872397972,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C6,Dry,-17.51653796,-149.913134,130.9,0.003198723136482079,0.004311159291362507,0.007628430801437073,0.0019263554869690227,0.42552315900281684,0.18782591471789292,0.9994933853786191,0.9850960365281305,0.3516598224618189,0.09998525099431599,0.21940261365884067,0.575807602179999,1.1100302149283399,NA,NA,NA
Cabral,C6,Wet,-17.51653796,-149.913134,130.9,0.001125455336595508,0.010611638099776366,0.007577939727661744,0.004882385892600365,0.06500159522446775,0.2707485685627783,0.17201123661761983,0.4103495926966157,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C7,Dry,-17.51630402,-149.913229,90.1,1.949832569107705e-4,0.006734350297014687,0.008500738014654913,0.005368620172585489,0.14142135623730953,0.3074377309506728,0.26087434645717283,0.22627416997969516,0.28273101320644,0.5306421486151015,0.011171331462974127,0.31411812268807027,0.414106228253636,NA,NA,NA
Cabral,C7,Wet,-17.51630402,-149.913229,90.1,0.002052123948286468,0.012562912106522182,0.015299210517061656,0.0057373829355360124,0.10192956468430982,0.6704453600659218,0.07057881515046006,0.2356101683123259,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C8,Dry,-17.51632397,-149.91291,99.70000000000002,0.0028348117923032916,0.008426202270044054,0.0052374887373059925,0.006285935229380623,0.13943216575407852,0.3379757225274675,0.16073903395577888,0.9417315813996768,0.3334878202052248,0.3325049436032245,0.24203308012750877,0.6663457184038634,1.093998329747344,NA,NA,NA
Cabral,C8,Wet,-17.51632397,-149.91291,99.70000000000002,0.0011706520168963022,0.016008489728464356,0.013764030325861121,0.010449585619534303,0.13493154014588868,0.34514054531127975,0.18960812727578868,0.6449629700812306,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C9,Dry,-17.51639103,-149.913111,72.1,4.5048087223605715e-4,0.0069446177813951935,0.007981285368334744,0.004064922406938041,0.15166470005022462,0.5586136057217111,0.3482710229804226,1.076145968855298,0.26879306124008,0.3193348280840643,0.24661630493458617,0.7224981282709653,1.1620875691580692,NA,NA,NA
Cabral,C9,Wet,-17.51639103,-149.913111,72.1,0.0026121561975915217,0.014167256538760128,0.026044505968937762,0.011134223122247402,0.07540274272649555,0.7074841352962661,0.21273624030500438,0.5633318696506949,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C10,Dry,-17.51588602,-149.912912,104.7,0.0024625175957768905,0.011642472162613954,0.010835299257344472,0.008253958456173572,0.1505846504842085,0.33118107180179335,0.19724304328821674,0.24246280339863743,0.2975160647511543,0.2212522833040479,0.15578451336392357,0.43853429241199027,1.0481621604433915,NA,NA,NA
Cabral,C10,Wet,-17.51588602,-149.912912,104.7,0.0014697024800264678,0.019490435335011914,0.0077198012893588104,0.010446823563482732,0.10399782592919257,0.2689594555989424,0.14072982516312138,0.59627092460216,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C11,Dry,-17.51598098,-149.913194,101.9,0.0013772945328340987,0.005952970734988507,0.002512334922555702,0.004386491828565661,0.1439074125877021,0.28378616710949245,0.24180302630912287,1.0149822743719514,0.26785362705365307,0.30278037654911083,0.26567103615148946,0.4996918054270033,0.924291055866387,NA,NA,NA
Cabral,C11,Wet,-17.51598098,-149.913194,101.9,0.002438917344995896,0.012231822672825032,0.01645567214213727,0.011510046106440358,0.11919994823904016,0.3731232182258688,0.1901956332666062,0.7579354915351129,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C12,Dry,-17.51595701,-149.913303,82.19999999999999,0.0019305019305019384,0.005803094280294102,0.0014505092518073495,0.0050884808032034615,0.2011271036886664,0.4491041128411725,0.5007133191905985,0.6813559528664673,0.23563223495521468,0.2633516043154971,0.24447292405314083,0.5613672550954064,0.9208011086445944,NA,NA,NA
Cabral,C12,Wet,-17.51595701,-149.913303,82.19999999999999,0.0015306586112247055,0.011477041944908187,0.015799752993568658,0.008467197146574875,0.16297401547800197,0.3001866673468987,0.48426950468536983,0.796831596257641,NA,NA,NA,NA,NA,NA,NA,NA
Cabral,C13,Dry,-17.51557102,-149.913136,69.80000000000001,0.012609176053035073,0.016577705660340922,0.018006643621231465,0.010938763187843271,0.164807801966273,0.13771895099308132,0.2347106147157012,1.1019784634053609,0.26878694342282566,0.30930085983709765,0.20610156656198714,0.4481917572060106,0.8394674624138936,NA,NA,NA
Cabral,C13,Wet,-17.51557102,-149.913136,69.80000000000001,0.0017974021086982375,0.019639851742668083,0.021692089711381552,0.015728328499650633,0.17851990547148547,0.26687912454390444,0.2613278771545977,0.7995527797771957,NA,NA,NA,NA,NA,NA,NA,NA
